Price,Rating,No_of_ratings,TotalReviews,RamSize (GB),RomSize (GB)
15183,4.2,9161,718,6.0,128.0
9295,4.3,8,0,4.0,64.0
11999,4.2,4237,431,4.0,64.0
15000,4.1,358,19,6.0,128.0
8299,4.2,431,32,3.0,64.0
14490,4.3,673,62,4.0,64.0
15884,4.2,9161,718,6.0,128.0
5889,4.0,387,36,2.0,32.0
13999,4.4,1999,101,4.0,64.0
16999,4.2,174,15,6.0,128.0
24790,4.2,421,42,6.0,128.0
16999,4.3,84215,7331,6.0,128.0
9798,4.1,1047,75,3.0,32.0
13880,3.9,183,10,4.0,64.0
13955,4.1,170,12,6.0,128.0
13999,4.4,1999,101,4.0,64.0
15185,4.2,9161,718,6.0,128.0
24445,4.2,2776,268,6.0,128.0
16900,4.2,872,85,8.0,128.0
35999,4.3,5581,788,8.0,128.0
9990,4.3,656,26,3.0,32.0
8999,4.3,11479,832,3.0,32.0
17999,4.4,76378,6205,6.0,128.0
34889,4.4,289,35,12.0,256.0
19999,4.4,53580,4789,8.0,128.0
27999,4.3,61530,6559,8.0,128.0
7789,4.3,21404,1284,2.0,32.0
38302,4.2,775,58,12.0,256.0
14399,4.3,843,67,6.0,128.0
12990,4.3,3670,262,4.0,64.0
35599,4.2,3658,419,8.0,128.0
20199,4.1,631,45,8.0,128.0
15499,4.3,222,11,4.0,64.0
16499,4.2,2082,170,6.0,64.0
12999,4.2,791,57,4.0,64.0
13999,4.3,11787,1562,6.0,64.0
11999,4.3,124433,8927,4.0,64.0
15499,4.4,1514,108,4.0,128.0
12489,3.9,3716,565,4.0,64.0
10999,4.4,137899,5921,4.0,64.0
21989,4.1,20,0,8.0,128.0
10999,4.3,48526,5194,4.0,64.0
18499,4.2,725,48,6.0,128.0
14999,4.3,25446,2544,4.0,64.0
11999,4.4,50559,2933,4.0,128.0
34999,4.0,1010,179,8.0,128.0
16499,4.4,52584,4032,8.0,128.0
13996,4.2,791,57,4.0,64.0
12499,4.3,51466,5807,6.0,128.0
15880,4.2,174,15,6.0,128.0
10499,4.3,297273,23471,4.0,64.0
7397,4.2,5872,437,3.0,32.0
8998,4.2,99,9,4.0,64.0
7799,4.1,296,55,2.0,32.0
14499,4.1,635,47,4.0,64.0
17980,4.2,978,80,6.0,128.0
8999,4.4,458868,29531,2.0,32.0
14100,4.4,34,6,6.0,128.0
20464,4.2,5366,457,6.0,128.0
7970,4.2,5872,437,3.0,32.0
13899,4.5,244098,30034,6.0,64.0
13999,4.4,10827,670,4.0,128.0
14489,4.3,2097,165,4.0,64.0
19999,4.2,9794,1494,8.0,128.0
19999,4.2,9794,1494,8.0,128.0
38653,4.2,775,58,12.0,256.0
6887,4.0,412,49,3.0,64.0
17499,4.2,34803,2909,4.0,64.0
14379,4.3,843,67,6.0,128.0
16799,4.2,2082,170,6.0,128.0
9499,4.6,89520,3077,3.0,32.0
13999,4.3,11787,1562,6.0,64.0
15999,4.4,69885,4887,6.0,128.0
13999,4.3,11787,1562,6.0,64.0
27999,4.3,276,42,8.0,256.0
18499,4.2,7183,667,8.0,128.0
6489,4.2,667,41,2.0,32.0
26999,4.0,167,13,8.0,128.0
11949,4.4,10827,670,4.0,64.0
7999,4.1,330,57,3.0,32.0
21999,4.5,244098,30034,6.0,64.0
15990,4.3,4016,228,6.0,128.0
